date,portfolio_return,benchmark_return,portfolio_value
2023-01-01,-0.014228017113050698,0.008794429187493262,9820491.729456931
2023-01-02,-0.0012013455422813764,-0.009851200072323221,9850069.538517155
2023-01-03,-0.011685816890997645,0.010296238288760456,9962894.3382102
2023-01-04,0.0028681636179140385,-0.0017478372112130118,9717527.978024311
2023-01-05,-0.0059941956094289066,0.01575753365706569,9988828.399639953
2023-01-06,0.003705803478745374,-0.013092978828589364,9902813.676582124
2023-01-07,0.011615807283647821,0.016470636413266695,9882488.703711282
2023-01-08,0.01669446936104708,-0.0026531789624711566,10080126.60314966
2023-01-09,-0.024480045890204905,-0.002815313304105698,9544835.126700174
2023-01-10,-0.0075419409387378275,0.002353549370870372,9942727.474154212
2023-01-11,-0.00223086077112014,-0.0056737102152062706,10579338.441403715
2023-01-12,0.0054032781838148315,-5.096101172076203e-05,9728472.578418594
2023-01-13,-0.015703545041545294,-0.0060386363874376904,10321375.124121103
2023-01-14,-0.009020924068002156,-0.005709571778812683,10013664.030228175
2023-01-15,0.0021035720265710997,0.004981973552705146,9849260.547779646
2023-01-16,0.0016488824152666717,-0.007514089457731644,9669839.585117549
2023-01-17,0.00457618406420093,-0.00631374811504934,10034920.491321309
2023-01-18,0.005236757268881162,-0.01175512124771768,10363349.276453668
2023-01-19,0.004185944331158625,-0.003935376119652055,9902697.213700809
2023-01-20,0.0027365531663149268,0.012404418267515297,9979759.643815806
2023-01-21,0.0013573977332636785,-0.007013402760926716,10252592.712547584
2023-01-22,0.007447630897243627,-0.005984699386685171,10085217.69783657
2023-01-23,-0.021593226665642253,0.0023452975183338195,9606931.055068856
2023-01-24,0.016243334869712345,-0.0027371679041957382,10024721.803963795
2023-01-25,-0.02124482050880324,0.020653389900146847,10378058.7276664
2023-01-26,-0.009991618169044921,-0.0008627516820863104,9990764.703383125
2023-01-27,-0.0014676079665014476,0.003616965115956345,9314627.642630655
2023-01-28,0.007526128910898425,0.009093919063193897,10097053.747897768
2023-01-29,-0.029152668907996164,0.008921200792765654,9950385.89011399
2023-01-30,0.000518756760581656,0.0026995882340164136,9542726.396519696
2023-01-31,0.008723950394157345,-0.000850147380174011,9580197.977486555
2023-02-01,0.01074518116028477,0.01881625682741331,10243776.785822202
2023-02-02,-0.006173296584974587,-0.00029784247782839966,9816904.31360123
2023-02-03,-0.0022083528695503226,-0.0033752109398563256,9773125.904816002
2023-02-04,-0.005361481288926278,-0.005212640894646166,9991090.359767083
2023-02-05,-0.0031267465352608436,-0.014941228824360803,9838949.250420015
2023-02-06,-0.00951826550728435,0.00799454177013447,10025012.156944437
2023-02-07,-0.00809252162470918,-0.020532615573907436,9949319.992640832
2023-02-08,0.0051437692202836805,0.0005484944318557136,9700001.104976589
2023-02-09,0.0021161537327274178,-0.0012437457084424654,9872200.550359653
2023-02-10,,0.020759686730083028,10110688.330327276
2023-02-11,0.002940143897008368,-0.015884861058422635,10010479.510059657
2023-02-12,0.007843386011475956,-0.0075099295828592125,9979514.379402041
2023-02-13,0.009582139981549947,-0.0006248681281348442,10484346.060294846
2023-02-14,-0.01661716619866104,-0.0011777640372225145,10182759.381346384
2023-02-15,,-0.004345901317290403,10213110.316205336
2023-02-16,-0.001513759574900389,-0.00012889118461950654,9958507.89805127
2023-02-17,0.0005732247451265893,-0.01073606455982767,10055036.29758782
2023-02-18,-0.005900905738180335,0.003814735910954451,9892225.002618577
2023-02-19,0.009920236709883058,-0.020293368078698203,10194387.441381032
2023-02-20,0.020599483682905984,0.00036807579710468634,9972400.023975238
2023-02-21,0.00266161955581734,-0.004803210248372159,10055594.43723264
2023-02-22,0.0016434103219821125,0.009746591484809719,10040152.825538792
2023-02-23,0.009294562551043311,0.01639779963569974,9995458.279648636
2023-02-24,-0.01785839755203436,-0.002379469518753219,10734547.016788943
2023-02-25,0.0010846894043841043,0.013116533362272876,9833345.18062632
2023-02-26,0.010590358254675167,-0.0022450465256736965,9831072.117460327
2023-02-27,-0.005631539972011117,-0.00809513870816181,10173524.186702939
2023-02-28,-0.011465605799019655,0.016313132689670575,9851207.750231205
2023-03-01,-0.001058056100997783,0.005286988002606061,9927148.409662778
2023-03-02,0.00019314566798079376,0.0006399467034883292,9728397.261661096
2023-03-03,-0.008286522819154584,0.006784597275887836,10122889.479850646
2023-03-04,0.02176161276050951,0.0030679353161715056,10126064.311121037
2023-03-05,-0.003986963810079456,-2.2974671473662087e-05,9921201.985019138
2023-03-06,-0.010736593514265686,-0.011337913445771968,10178704.172120018
2023-03-07,-0.00013621319070611468,-0.0018348306344514002,9535468.746566603
2023-03-08,0.009878606377044912,0.006209298811126254,9823286.649621414
2023-03-09,0.0009741424899823097,-0.0005049428311812949,9957505.203447267
2023-03-10,0.0056559392004400235,0.008720931850173473,9706929.375774262
2023-03-11,-0.007915105943331573,0.0040528952148011005,9562821.74064532
2023-03-12,,-0.0073032268627686615,9923026.008740388
2023-03-13,0.0064171102791844336,-0.011272547620489112,10173505.021765186
2023-03-14,0.011277015688776097,-0.0008146064993715124,10320527.097856628
2023-03-15,0.004451606324751694,-0.004118056032941288,9863178.029198656
2023-03-16,0.009048840377287844,0.003626896286595175,10183303.959405398
2023-03-17,-0.007930525596772273,-0.005863238928864568,10159135.509518918
2023-03-18,-0.004114104166895624,-0.004938530931793894,10304652.043583624
2023-03-19,0.0142648059555603,0.010077627458354211,9912452.2424115
2023-03-20,0.01639741947283964,0.0019338267176510805,9550374.876203831
2023-03-21,-0.010670655997190769,-0.005724543588845636,10017546.463105686
2023-03-22,0.0032973606786381214,0.000758776278615177,9746551.564757569
2023-03-23,-0.0035094380048522745,0.013010201187015142,9819123.722734498
2023-03-24,-0.006170314693648616,0.0032440801944725035,9924695.213986704
2023-03-25,0.0036483969535544996,0.0059365572848261655,9915268.092162713
2023-03-26,0.01220962932365408,-0.006170110828746983,10035389.816723948
2023-03-27,0.005316624732841939,0.009837774394211404,10175789.079104904
