date,channel,spend,revenue,campaign_id
2023-01-01,Affiliate,2156.9122481993254,32662.195300764884,1117
2023-01-02,Email,16523.81463456849,12627.541587252153,1196
2023-01-03,Meta,18690.590681193396,9782.775301565342,1115
2023-01-04,Affiliate,995.5919754949163,16524.499174713466,1046
2023-01-05,Affiliate,15234.048302537292,32402.477168327103,1101
2023-01-06,Email,14289.96073045755,29717.172111827724,1123
2023-01-07,Email,21265.39852845052,23789.2563105948,1162
2023-01-08,Google,15927.156621999475,,1157
2023-01-09,Email,25112.093939941828,19806.57077001564,1177
2023-01-10,Email,4196.248219106349,15465.867378823043,1023
2023-01-11,Affiliate,6236.0487727363525,5753.106343118148,1029
2023-01-12,Meta,22254.9803226548,6715.59212253347,1053
2023-01-13,Affiliate,5372.715252446673,37459.68932016745,1066
2023-01-14,Google,37030.42176725897,33644.0858363202,1031
2023-01-15,Affiliate,1636.34973969109,29780.758066017275,1007
2023-01-16,Google,1521.750717265883,22557.405446316698,1177
2023-01-17,Email,3003.0663108496524,28620.803357941753,1174
2023-01-18,Meta,8967.398608286161,14326.275545174321,1045
2023-01-19,Meta,18441.372464875825,15188.865882276694,1079
2023-01-20,Affiliate,12544.872287807006,21638.57451013714,1034
2023-01-21,Meta,11730.946922858277,16567.262175797256,1188
2023-01-22,Google,7581.892069094542,11782.434530439554,1088
2023-01-23,Google,1806.4585873630328,50939.65680087661,1078
2023-01-24,Email,2352.8970585774077,24172.37157818785,1178
2023-01-25,Affiliate,1340.5607557632093,16623.260404390465,1190
2023-01-26,Email,4494.786485589628,29773.84618487607,1135
2023-01-27,Meta,3317.211143343694,36927.474392402495,1033
2023-01-28,Email,8972.445768748903,9471.764976075288,1024
2023-01-29,Meta,6580.074134414984,10691.707984258019,1112
2023-01-30,Google,4608.177581243801,35763.16255852937,1171
2023-01-31,Affiliate,6983.577475200204,50623.339819625675,1082
2023-02-01,Affiliate,7849.616810184678,32118.46109365718,1042
2023-02-02,Email,2147.1426930282914,19116.145190547337,1125
2023-02-03,Meta,6343.3850201497535,33211.10782814501,1177
2023-02-04,Google,4279.334193130242,12381.799366198758,1012
2023-02-05,Meta,4150.337092411434,17505.224274571352,1173
2023-02-06,Email,8641.829316463054,13122.119193879484,1124
2023-02-07,Meta,18283.173335927626,8129.79619924697,1075
2023-02-08,Google,8771.986238373442,31208.839362527535,1086
2023-02-09,Email,35602.290555437285,10021.126955543385,1180
2023-02-10,Google,9711.601261622081,16038.148788498944,1190
2023-02-11,Email,17915.394170465446,32782.407594578915,1103
2023-02-12,Affiliate,2922.8474352581497,22631.212966042684,1129
2023-02-13,Meta,3214.8986008638885,21102.244416858055,1039
2023-02-14,Google,9071.56538757846,35253.770692874816,1022
2023-02-15,Google,4966.331221150129,24722.260168924426,1186
2023-02-16,Meta,16879.7283732317,11676.884825221126,1068
2023-02-17,Google,11566.980110555258,5358.904219679333,1033
2023-02-18,Google,8728.333449223961,30530.852823240555,1154
2023-02-19,Google,7516.614260949755,29995.00924117127,1054
2023-02-20,Affiliate,9406.182888516747,10525.272243583408,1105
2023-02-21,Google,5930.437723286464,27408.61797769853,1003
2023-02-22,Affiliate,4180.2246567963075,8590.406759899884,1195
2023-02-23,Meta,13045.188808266848,56621.433462250665,1199
2023-02-24,Affiliate,4067.295104047452,13966.473968306249,1069
2023-02-25,Google,10033.158330107404,8294.481185231025,1154
2023-02-26,Google,28755.57244546118,29400.728180437,1046
2023-02-27,Google,20443.79176320899,19191.542601891106,1113
2023-02-28,Affiliate,5170.524893155658,10550.495415550422,1116
2023-03-01,Email,6209.578864690329,11768.34503221345,1117
2023-03-02,Email,23396.03658811239,,1167
2023-03-03,Meta,7688.395830581967,7628.450956597139,1154
2023-03-04,Meta,18958.498448467024,26234.40713055537,1006
2023-03-05,Meta,8490.466177128483,12516.063337108073,1150
2023-03-06,Google,10884.243597905472,15300.892652430282,1191
2023-03-07,Email,8104.945288380719,13777.714318093467,1112
2023-03-08,Email,9217.572895363339,45405.031883939766,1097
2023-03-09,Meta,23967.797481273392,22116.193786770116,1028
2023-03-10,Email,601.433712628299,22573.652207059087,1188
2023-03-11,Meta,13588.64666719077,,1171
2023-03-12,Google,9369.19130770398,24333.725318275432,1114
2023-03-13,Email,19113.443774630457,14345.901083683559,1196
2023-03-14,Google,10059.175696055043,8039.96293968685,1154
2023-03-15,Google,12789.133837867297,40350.21034525157,1139
2023-03-16,Email,8050.292341420272,40209.08677777033,1144
2023-03-17,Affiliate,35923.8654465108,13762.924282175962,1036
2023-03-18,Meta,3730.6873029921994,7159.892143570683,1033
2023-03-19,Email,14889.536203273461,28440.17835151584,1163
2023-03-20,Google,13515.712061726346,9880.854795124087,1133
2023-03-21,Meta,4916.053766261926,5574.82292706025,1095
2023-03-22,Google,4413.014939850563,45972.84098267009,1159
2023-03-23,Meta,8088.332846076911,5548.50385253903,1072
2023-03-24,Email,5822.727337577948,18782.986851565973,1121
2023-03-25,Google,8856.038991713756,18248.413667315028,1149
2023-03-26,Meta,10711.045285439139,36870.73931134873,1009
2023-03-27,Meta,4345.565581493554,22397.90274672271,1028
2023-03-28,Email,13862.284513025677,4084.30841027489,1138
2023-03-29,Meta,6014.8322592204695,54962.872857879476,1091
2023-03-30,Meta,7771.022583307212,12568.839338591662,1193
2023-03-31,Google,622.642032024038,28961.307487321363,1055
2023-04-01,Email,26018.028668260296,29351.318844724345,1084
2023-04-02,Email,5449.967144184536,22674.586572169515,1094
2023-04-03,Google,4180.550686520651,8113.949804345676,1057
2023-04-04,Affiliate,1157.8062166919726,44522.92275918752,1051
2023-04-05,Google,6307.381115365952,51008.174795944375,1060
2023-04-06,Google,4176.0148534532445,26279.268367350527,1016
2023-04-07,Affiliate,18615.881998796634,,1029
2023-04-08,Meta,7349.807961111206,35239.2629257658,1071
2023-04-09,Email,6613.4966794892425,,1036
2023-04-10,Email,5245.8816053303235,,1132
2023-04-11,Affiliate,3673.0554181169773,33594.60843960185,1153
2023-04-12,Email,6101.069985832608,27358.397905607577,1197
2023-04-13,Affiliate,19528.51583272001,11104.695517846461,1079
2023-04-14,Meta,3299.429660258065,25223.665084498316,1128
2023-04-15,Affiliate,4050.660788297106,19763.160525241234,1136
2023-04-16,Email,2241.3414488492544,12343.15657910119,1070
2023-04-17,Email,5969.174823299608,31769.599067705527,1106
2023-04-18,Affiliate,12114.535464348111,56669.73209827228,1191
2023-04-19,Email,5721.176687790456,7585.253205573654,1151
2023-04-20,Affiliate,11050.297773423932,29908.577738953143,1132
2023-04-21,Email,21978.8897284306,14243.764315611472,1178
2023-04-22,Google,7724.388700979107,44517.630457307365,1165
2023-04-23,Meta,6749.391471536159,20153.32446777928,1156
2023-04-24,Email,12661.78070029749,56927.52040312432,1173
2023-04-25,Email,5607.298884672812,29518.682665032946,1179
2023-04-26,Email,1297.830088788244,23780.220230472012,1120
2023-04-27,Affiliate,16572.312562508363,11929.632111005581,1173
2023-04-28,Email,11090.292728599397,633.1357809805214,1074
2023-04-29,Affiliate,12174.414421520156,25952.480019613406,1067
2023-04-30,Email,22899.313057421605,4686.028821755944,1186
2023-05-01,Google,20381.468499701794,23052.21001552976,1137
2023-05-02,Google,2910.5509240388483,12518.952042003757,1097
2023-05-03,Meta,6722.495527682514,15643.12896634173,1131
2023-05-04,Affiliate,1328.002209893822,59051.637297503294,1051
