trade_date,portfolio_return,benchmark_return,portfolio_value,month
2023-01-01,0.009190724414192683,0.007073826743212496,11713341.981830284,2023-01
2023-01-02,0.017198443058135157,0.013081970123679187,11939983.714961909,2023-01
2023-01-03,0.009360120692878464,-0.0042960281725735044,11685704.639353864,2023-01
2023-01-04,0.021891742796920906,0.01002875997514417,12068510.235584088,2023-01
2023-01-05,0.0034995373236880196,0.004404754485806365,11718484.031588266,2023-01
2023-01-06,-0.010913346946594562,0.007412877256657322,12020689.07268087,2023-01
2023-01-07,0.008924338670817258,0.020444844511455583,11821618.280090343,2023-01
2023-01-08,0.008725915283013133,-0.007843670702869999,11676575.108002791,2023-01
2023-01-09,-0.0061786798087402174,-0.011438186790968837,12110159.21052324,2023-01
2023-01-10,0.004875287059697571,0.011529158115682964,11426847.110182703,2023-01
2023-01-11,0.0039161872890713136,-0.015665824467768815,12443637.741680397,2023-01
2023-01-12,-0.006960979153804928,-0.007356001276218816,12038255.394570688,2023-01
2023-01-13,-0.009295303078568455,-1.8047910135366905e-05,11680323.632847473,2023-01
2023-01-14,0.020345648398773612,0.003623816836210066,11864608.332022514,2023-01
2023-01-15,0.0,0.0008181219953050404,11799654.3056512,2023-01
2023-01-16,0.007096238080632142,-0.005601386053180351,11895373.376688939,2023-01
2023-01-17,0.01578694609572527,-0.003135103570316848,12284243.626822714,2023-01
2023-01-18,-0.010707279785754056,0.004161017400428146,12095650.713969823,2023-01
2023-01-19,-0.0034349781354786465,-0.015006968461171909,11700000.349723775,2023-01
2023-01-20,0.005942140399006428,0.001959993430549426,11561222.792319657,2023-01
2023-01-21,0.014026048963007444,-0.03054850874428362,12005606.622043569,2023-01
2023-01-22,0.005815854398491631,-0.0005029186227744228,12214182.644767284,2023-01
2023-01-23,0.001339603261730055,0.004373307369323359,11498161.497061329,2023-01
2023-01-24,0.0018679998637361032,-0.010540902887302197,12148078.016226128,2023-01
2023-01-25,0.0016920806371310152,-0.006393647419349936,12059615.720638337,2023-01
2023-01-26,0.008909378298336738,0.007603771101428233,12099658.493493553,2023-01
2023-01-27,-0.01892833188567258,0.014116548682564997,12601834.563719869,2023-01
2023-01-28,0.020314165650183943,-0.01253377779159945,12101687.287940001,2023-01
