campaign_date,channel,spend,revenue,campaign_id,roi,month
2023-01-01,Meta,8969.955594101379,32069.036438648876,1083,3.5751611144805886,2023-01
2023-01-02,Google,2618.7642413895665,41594.687932464774,1237,15.883326675636077,2023-01
2023-01-03,Meta,14643.93301822857,28147.94974350217,1200,1.922157777453911,2023-01
2023-01-04,Email,11607.997076225563,10344.0005077017,1213,0.8911098477865173,2023-01
2023-01-05,Google,10770.465488338732,16077.840304848214,1013,1.4927711640927515,2023-01
2023-01-06,Google,5238.08737523428,15418.411342711855,1152,2.9435193111917584,2023-01
2023-01-07,Google,12783.908175070725,8200.442585888952,1101,0.6414660113000682,2023-01
2023-01-08,Meta,23913.08762845987,38601.02500492431,1191,1.6142217017171705,2023-01
2023-01-09,Meta,5375.904378361271,28705.59125836714,1241,5.339676682850045,2023-01
2023-01-10,Meta,13217.607062798585,7237.47300028703,1191,0.5475630320905174,2023-01
2023-01-11,Email,25942.85897261634,15648.945461614738,1219,0.6032082076278789,2023-01
2023-01-12,Google,5667.248675116432,50010.17247372153,1024,8.824418221368076,2023-01
2023-01-13,Google,4742.525970564917,17227.88220159486,1240,3.6326384522766717,2023-01
2023-01-14,Google,4961.802664503274,19807.213175188685,1194,3.991938921087984,2023-01
2023-01-15,Google,5970.84167601294,6375.004834942178,1256,1.0676894784453772,2023-01
2023-01-16,Google,29099.71989531053,26077.88722116689,1269,0.8961559532182778,2023-01
2023-01-17,Google,17606.18522213377,24432.95037424225,1186,1.3877481161294472,2023-01
2023-01-18,Affiliate,10008.424083882472,14104.32588671162,1086,1.4092454285010938,2023-01
2023-01-19,Google,4918.94879364559,18159.98523336456,1062,3.691842707698857,2023-01
2023-01-20,Meta,6754.92128233301,13057.487601476327,1049,1.9330332739224076,2023-01
2023-01-21,Affiliate,6824.808290408744,20532.311401789677,1106,3.0084817811871427,2023-01
2023-01-22,Google,11671.135416003572,15851.785970515462,1018,1.3582042710925402,2023-01
2023-01-23,Email,9097.055208987871,21642.95978469523,1204,2.3791171194951124,2023-01
2023-01-24,Meta,14338.40886925316,7109.427784259357,1141,0.49583101228927806,2023-01
2023-01-25,Google,14277.122145014673,4543.546847357506,1088,0.3182396845252203,2023-01
2023-01-26,Affiliate,2938.2519721943822,32565.738490121494,1272,11.083371609481246,2023-01
2023-01-27,Meta,4568.20886922376,0.0,1142,0.0,2023-01
2023-01-28,Meta,910.8377684797487,21563.06719843952,1205,23.673883478097064,2023-01
2023-01-29,Email,3118.7154761118095,0.0,1124,0.0,2023-01
2023-01-30,Google,17103.62230911618,0.0,1091,0.0,2023-01
2023-01-31,Google,4390.177399264511,31039.469639409945,1267,7.070208516997514,2023-01
2023-02-01,Meta,8276.318627309854,23552.553914119613,1168,2.8457766036703647,2023-02
2023-02-02,Meta,13761.746020825833,47827.53177270186,1273,3.4753970680990496,2023-02
2023-02-03,Google,6281.123424507022,25063.087358163775,1296,3.990223669284268,2023-02
2023-02-04,Meta,10774.548840768479,24387.854283877572,1273,2.2634687209917685,2023-02
2023-02-05,Google,12383.832798145668,13326.60858256287,1208,1.0761295634222687,2023-02
2023-02-06,Meta,7438.400579444605,14974.128963625979,1134,2.013084507038479,2023-02
2023-02-07,Email,20630.17422354271,32808.782708331084,1229,1.5903298902289642,2023-02
2023-02-08,Google,5670.243766088091,31701.709685653474,1178,5.590890091048859,2023-02
2023-02-09,Email,7506.03248606442,20724.794749468612,1030,2.7610851389127262,2023-02
